Config,Algorithm,Problem,Run,Score
margin3,BIPOP,prob4,1,2284.7477410609026
margin3,BIPOP,prob4,2,2321.1782609109837
margin3,BIPOP,prob4,3,2893.7403164917127
margin3,SHADE,prob1,1,36.391291075540416
margin3,SHADE,prob1,2,36.451806775820046
margin3,SHADE,prob1,3,36.48621980095886
margin3,SHADE,prob2,1,31.420884228513728
margin3,SHADE,prob2,2,31.420884228513728
margin3,SHADE,prob2,3,31.42088422851384
margin3,SHADE,prob3,1,28.449021373115777
margin3,SHADE,prob3,2,29.614615590917182
margin3,SHADE,prob3,3,28.848793373998305
margin3,SHADE,prob4,1,2278.200535886937
margin3,SHADE,prob4,2,4511.274576541055
margin3,SHADE,prob4,3,4511.274576541056
margin3,BipopAdaptif,prob1,1,37.35626552149481
margin3,BipopAdaptif,prob1,2,37.37260537293331
margin3,BipopAdaptif,prob1,3,37.35419071873626
margin3,BipopAdaptif,prob2,1,31.42089461500821
margin3,BipopAdaptif,prob2,2,31.420884959907994
margin3,BipopAdaptif,prob2,3,31.4209222271334
margin3,BipopAdaptif,prob3,1,28.216385401868305
margin3,BipopAdaptif,prob3,2,28.396023183481944
margin3,BipopAdaptif,prob3,3,28.218867622202787
margin3,BipopAdaptif,prob4,1,4583.0693725734145
margin3,BipopAdaptif,prob4,2,4583.4006483068915
margin3,BipopAdaptif,prob4,3,4587.8402167141785
margin3,LMCMA,prob1,1,38.58884164296371
margin3,LMCMA,prob1,2,37.56377267157322
margin3,LMCMA,prob1,3,37.07645463693951
margin3,LMCMA,prob2,1,31.48683633554785
margin3,LMCMA,prob2,2,31.483175313596544
margin3,LMCMA,prob2,3,31.465271835157644
margin3,LMCMA,prob3,1,56.67463276249695
margin3,LMCMA,prob3,2,40.29408621734403
margin3,LMCMA,prob3,3,62.63205247073355
margin3,LMCMA,prob4,1,4948.316394133904
margin3,LMCMA,prob4,2,4904.146860488961
margin3,LMCMA,prob4,3,4802.303766827653
margin3,AStarSeeds,prob1,1,36.32079768631264
margin3,AStarSeeds,prob1,2,36.33279404342191
margin3,AStarSeeds,prob1,3,36.32371164215038
margin3,AStarSeeds,prob2,1,31.420884232055204
margin3,AStarSeeds,prob2,2,31.420911886327012
margin3,AStarSeeds,prob2,3,31.420961728218852
margin3,AStarSeeds,prob3,1,28.22678410243742
margin3,AStarSeeds,prob3,2,28.22913824964707
margin3,AStarSeeds,prob3,3,28.22231188633807
margin3,AStarSeeds,prob4,1,4622.896318806468
margin3,AStarSeeds,prob4,2,2297.7948437261957
margin3,AStarSeeds,prob4,3,4626.21713260667
margin3,NBIPOP,prob1,1,36.35257148198741
margin3,NBIPOP,prob1,2,36.32331751562316
margin3,NBIPOP,prob1,3,38.387994091524774
margin3,NBIPOP,prob2,1,31.42088423630107
margin3,NBIPOP,prob2,2,31.42090374616244
margin3,NBIPOP,prob2,3,31.42091038475628
margin3,NBIPOP,prob3,1,28.236845791459093
margin3,NBIPOP,prob3,2,28.219641123202308
margin3,NBIPOP,prob3,3,28.328136486480947
margin3,NBIPOP,prob4,1,3400.5579228073093
margin3,NBIPOP,prob4,2,3332.0640896690666
margin3,NBIPOP,prob4,3,4612.764751945767
margin3,ALConstraint,prob1,1,36.32030853338965
margin3,ALConstraint,prob1,2,36.352032858463645
margin3,ALConstraint,prob1,3,36.32368454630971
margin3,ALConstraint,prob2,1,31.42093674961317
margin3,ALConstraint,prob2,2,31.42088900442146
margin3,ALConstraint,prob2,3,31.420887153498366
margin3,ALConstraint,prob3,1,28.99953409214196
