Strategy,Algorithm,Problem,Run,Score
RANDOM,GA,prob2,1,31.491662854424646
RANDOM,GA,prob2,2,31.518204816802797
RANDOM,GA,prob2,3,31.458120525308644
RANDOM,GA,prob3,1,44.62469755830742
RANDOM,GA,prob3,2,35.63776310426734
RANDOM,GA,prob3,3,41.159145410656556
RANDOM,GA,prob4,1,5388.544081654418
RANDOM,GA,prob4,2,6050.325542214763
RANDOM,GA,prob4,3,5381.963176934478
RANDOM,MultiSegment,prob1,1,36.35569383404566
RANDOM,MultiSegment,prob1,2,36.320704280115436
RANDOM,MultiSegment,prob1,3,36.3462693850786
RANDOM,MultiSegment,prob2,1,31.480946144744458
RANDOM,MultiSegment,prob2,2,31.480946144744923
RANDOM,MultiSegment,prob2,3,31.481470557957685
RANDOM,MultiSegment,prob3,1,30.23452577725288
RANDOM,MultiSegment,prob3,2,29.403245329502074
RANDOM,MultiSegment,prob3,3,29.684037647889895
RANDOM,MultiSegment,prob4,1,3133.2204993225005
RANDOM,MultiSegment,prob4,2,3112.584924745456
RANDOM,MultiSegment,prob4,3,5075.399467600365
RANDOM,SHADE,prob1,1,36.44123086304842
RANDOM,SHADE,prob1,2,36.469946924426225
RANDOM,SHADE,prob1,3,36.5933800522272
RANDOM,SHADE,prob2,1,31.440202605775035
RANDOM,SHADE,prob2,2,31.440202605775156
RANDOM,SHADE,prob2,3,31.44020260577512
RANDOM,SHADE,prob3,1,28.230514124912798
RANDOM,SHADE,prob3,2,28.746540206715714
RANDOM,SHADE,prob3,3,28.66185716869131
RANDOM,SHADE,prob4,1,5618.95784093112
RANDOM,SHADE,prob4,2,5443.489968699513
RANDOM,SHADE,prob4,3,5381.814894770396
RANDOM,BipopAdaptif,prob1,1,37.377278746285604
RANDOM,BipopAdaptif,prob1,2,37.37951665704157
RANDOM,BipopAdaptif,prob1,3,38.10966222309381
RANDOM,BipopAdaptif,prob2,1,31.480955803999453
RANDOM,BipopAdaptif,prob2,2,31.480951471165163
RANDOM,BipopAdaptif,prob2,3,31.48094698253811
RANDOM,BipopAdaptif,prob3,1,28.746518122484815
RANDOM,BipopAdaptif,prob3,2,31.062584536090206
RANDOM,BipopAdaptif,prob3,3,29.120636619284127
RANDOM,BipopAdaptif,prob4,1,5613.765329394232
RANDOM,BipopAdaptif,prob4,2,5739.402491120544
RANDOM,BipopAdaptif,prob4,3,5782.950792403188
RANDOM,LMCMA,prob1,1,37.86040257023239
RANDOM,LMCMA,prob1,2,37.83357679384364
RANDOM,LMCMA,prob1,3,38.66348181919825
RANDOM,LMCMA,prob2,1,31.497089951737443
RANDOM,LMCMA,prob2,2,31.45983577801676
RANDOM,LMCMA,prob2,3,31.544055948013874
RANDOM,LMCMA,prob3,1,67.12911522555271
RANDOM,LMCMA,prob3,2,72.10373530884554
RANDOM,LMCMA,prob3,3,47.82107291634736
RANDOM,LMCMA,prob4,1,5427.738926392164
RANDOM,LMCMA,prob4,2,5569.006673618439
RANDOM,LMCMA,prob4,3,2966.6883058371072
RANDOM,AStarSeeds,prob1,1,36.320714448777196
RANDOM,AStarSeeds,prob1,2,36.32108355844008
RANDOM,AStarSeeds,prob1,3,36.33114309936427
RANDOM,AStarSeeds,prob2,1,31.44020260577578
RANDOM,AStarSeeds,prob2,2,31.440202605777166
RANDOM,AStarSeeds,prob2,3,31.44020260577559
RANDOM,AStarSeeds,prob3,1,29.63881601896405
RANDOM,AStarSeeds,prob3,2,29.057831709339705
RANDOM,AStarSeeds,prob3,3,28.23457746228331
RANDOM,AStarSeeds,prob4,1,5458.086675265977
RANDOM,AStarSeeds,prob4,2,5405.378979636715
RANDOM,AStarSeeds,prob4,3,5409.469545921241
RANDOM,NBIPOP,prob1,1,37.35474404779458
RANDOM,NBIPOP,prob1,2,37.43377789575041
RANDOM,NBIPOP,prob1,3,36.347588715277425
RANDOM,NBIPOP,prob2,1,31.440202605775582
RANDOM,NBIPOP,prob2,2,31.44020399900577
RANDOM,NBIPOP,prob2,3,31.440202605775376
RANDOM,NBIPOP,prob3,1,28.886252226622673
RANDOM,NBIPOP,prob3,2,28.20790538989693
RANDOM,NBIPOP,prob3,3,28.227156498040763
RANDOM,NBIPOP,prob4,1,5582.920655776375
RANDOM,NBIPOP,prob4,2,2862.85771605353
RANDOM,NBIPOP,prob4,3,5399.44850929916
RANDOM,ALConstraint,prob1,1,36.407807942762034
RANDOM,ALConstraint,prob1,2,36.34818218350276
RANDOM,ALConstraint,prob1,3,36.32883546133905
RANDOM,ALConstraint,prob2,1,31.440202605775607
RANDOM,ALConstraint,prob2,2,31.440202605791285
RANDOM,ALConstraint,prob2,3,31.440202605775667
RANDOM,ALConstraint,prob3,1,29.413830196941138
RANDOM,ALConstraint,prob3,2,30.207208208109737
RANDOM,ALConstraint,prob3,3,29.127609715964635
RANDOM,ALConstraint,prob4,1,5649.232637299363
RANDOM,ALConstraint,prob4,2,5412.05028541624
RANDOM,ALConstraint,prob4,3,5546.023404758426
RANDOM,RFSurrogate,prob1,1,36.32184171481751
RANDOM,RFSurrogate,prob1,2,36.604293734516105
RANDOM,RFSurrogate,prob1,3,37.35677487691037
RANDOM,RFSurrogate,prob2,1,31.440291236465807
RANDOM,RFSurrogate,prob2,2,31.4402026057756
RANDOM,RFSurrogate,prob2,3,31.440202605775532
RANDOM,RFSurrogate,prob3,1,28.22000063776576
RANDOM,RFSurrogate,prob3,2,28.678258993608935
RANDOM,RFSurrogate,prob3,3,28.62172894490792
RANDOM,RFSurrogate,prob4,1,3133.851006251793
RANDOM,RFSurrogate,prob4,2,5406.501390707707
RANDOM,RFSurrogate,prob4,3,5539.715935192701
RANDOM,Islands,prob1,1,36.35780618698718
RANDOM,Islands,prob1,2,36.33168204914771
RANDOM,Islands,prob1,3,36.37521821294403
RANDOM,Islands,prob2,1,31.440202605775408
RANDOM,Islands,prob2,2,31.440202605775546
RANDOM,Islands,prob2,3,31.440202605775415
RANDOM,Islands,prob3,1,28.24580623902114
RANDOM,Islands,prob3,2,29.241160972575763
RANDOM,Islands,prob3,3,28.253613163556793
RANDOM,Islands,prob4,1,5538.480270068362
RANDOM,Islands,prob4,2,5522.796047525029
RANDOM,Islands,prob4,3,5492.423735671686
RANDOM,GridBIPOP,prob1,1,38.38919939551652
RANDOM,GridBIPOP,prob1,2,36.39151130010839
RANDOM,GridBIPOP,prob1,3,37.35652344159124
RANDOM,GridBIPOP,prob2,1,31.48094614475298
RANDOM,GridBIPOP,prob2,2,31.480946144744493
RANDOM,GridBIPOP,prob2,3,31.48096915797453
RANDOM,GridBIPOP,prob3,1,29.5422490515875
RANDOM,GridBIPOP,prob3,2,29.346796815337786
RANDOM,GridBIPOP,prob3,3,28.876695786024726
RANDOM,GridBIPOP,prob4,1,5543.0733597053795
RANDOM,GridBIPOP,prob4,2,5872.534637913827
RANDOM,GridBIPOP,prob4,3,5627.886598213534
RANDOM,StochRank,prob1,1,37.38312037659252
RANDOM,StochRank,prob1,2,38.38999095228405
RANDOM,StochRank,prob1,3,37.36390828195796
RANDOM,StochRank,prob2,1,31.48112537228294
RANDOM,StochRank,prob2,2,31.480946144745445
RANDOM,StochRank,prob2,3,31.480946144744717
RANDOM,StochRank,prob3,1,29.204620029089874
RANDOM,StochRank,prob3,2,32.129649032845535
RANDOM,StochRank,prob3,3,28.223397186980854
RANDOM,StochRank,prob4,1,5782.875143436626
RANDOM,StochRank,prob4,2,5814.571008331877
RANDOM,StochRank,prob4,3,3107.960401583933
RANDOM,AStarRepair,prob1,1,37.355825198606645
RANDOM,AStarRepair,prob1,2,37.37916669720511
RANDOM,AStarRepair,prob1,3,38.39002796978785
RANDOM,AStarRepair,prob2,1,31.481136653465796
RANDOM,AStarRepair,prob2,2,31.480946144744426
RANDOM,AStarRepair,prob2,3,31.480946144744774
RANDOM,AStarRepair,prob3,1,29.87941557929972
RANDOM,AStarRepair,prob3,2,28.529191040165177
RANDOM,AStarRepair,prob3,3,29.202275576579808
RANDOM,AStarRepair,prob4,1,5585.85133503937
RANDOM,AStarRepair,prob4,2,5602.930086302428
RANDOM,AStarRepair,prob4,3,5703.426062617636
RANDOM,SepWarmup,prob1,1,38.38997211559459
RANDOM,SepWarmup,prob1,2,38.3891397484725
RANDOM,SepWarmup,prob1,3,36.36803434926844
RANDOM,SepWarmup,prob2,1,31.48100884438206
RANDOM,SepWarmup,prob2,2,31.481165647870803
RANDOM,SepWarmup,prob2,3,31.48140562238687
RANDOM,SepWarmup,prob3,1,34.919137377455236
RANDOM,SepWarmup,prob3,2,30.010045842948564
RANDOM,SepWarmup,prob3,3,30.23306153561169
RANDOM,SepWarmup,prob4,1,5419.018602451435
RANDOM,SepWarmup,prob4,2,5456.62639164247
