idx,x,y
272,7.5293157190,19.1721523344
273,7.5425341554,19.0989291493
274,7.5556407396,19.0253086881
275,7.5686385705,18.9512974443
276,7.5815307480,18.8769019003
277,7.5943203723,18.8021285281
278,7.6070105433,18.7269837887
279,7.6196043600,18.6514741320
280,7.6321049199,18.5756059969
281,7.6445153182,18.4993858114
282,7.6568386479,18.4228199921
283,7.6690779982,18.3459149442
284,7.6812364549,18.2686770617
285,7.6933170993,18.1911127270
286,7.7053230077,18.1132283112
287,7.7172572508,18.0350301734
288,7.7291228937,17.9565246614
289,7.7409229944,17.8777181109
290,7.7526606042,17.7986168459
291,7.7643387665,17.7192271784
292,7.7759605167,17.6395554083
293,7.7875288815,17.5596078237
294,7.7990468785,17.4793907000
295,7.8105175155,17.3989103008
296,7.8219437902,17.3181728772
297,7.8333286897,17.2371846678
298,7.8446751898,17.1559518988
299,7.8559862548,17.0744807838
300,7.8672648370,16.9927775237
301,7.8785138760,16.9108483068
302,7.8897362984,16.8286993085
303,7.9009350174,16.7463366912
304,7.9121129323,16.6637666047
305,7.9232729280,16.5809951853
306,7.9344178747,16.4980285566
307,7.9455506273,16.4148728288
308,7.9566740251,16.3315340989
309,7.9677908913,16.2480184506
310,7.9789040328,16.1643319541
311,7.9900162395,16.0804806661
312,8.0011302841,15.9964706301
313,8.0122489216,15.9123078754
314,8.0233748890,15.8279984181
315,8.0345109049,15.7435482602
316,8.0456596690,15.6589633901
317,8.0568238619,15.5742497820
318,8.0680061448,15.4894133965
319,8.0792091589,15.4044601798
320,8.0904355252,15.3193960640
321,8.1016878440,15.2342269673
322,8.1129686950,15.1489587932
323,8.1242806362,15.0635974312
324,8.1356262045,14.9781487562
325,8.1470079146,14.8926186287
326,8.1584282591,14.8070128946
327,8.1698897080,14.7213373851
328,8.1813947086,14.6355979168
329,8.1929456849,14.5498002917
330,8.2045450378,14.4639502966
331,8.2161951442,14.3780537036
332,8.2278983571,14.2921162698
333,8.2396570053,14.2061437374
334,8.2514733930,14.1201418332
335,8.2633497996,14.0341162691
336,8.2752884796,13.9480727416
337,8.2872916621,13.8620169318
338,8.2993615506,13.7759545057
339,8.3115003229,13.6898911136
340,8.3237101307,13.6038323903
341,8.3359930994,13.5177839552
342,8.3483513282,13.4317514118
343,8.3607868893,13.3457403481
344,8.3733018281,13.2597563361
345,8.3858981628,13.1738049321
346,8.3985778845,13.0878916764
347,8.4113429565,13.0020220934
348,8.4241953146,12.9162016912
349,8.4371368666,12.8304359622
350,8.4501694922,12.7447303822
351,8.4632950429,12.6590904109
352,8.4765153418,12.5735214917
353,8.4898321834,12.4880290516
354,8.5032473333,12.4026185010
355,8.5167625284,12.3172952341
356,8.5303794765,12.2320646281
357,8.5440998561,12.1469320438
358,8.5579253166,12.0619028252
359,8.5718574775,11.9769822996
360,8.5858979293,11.8921757773
361,8.6000482322,11.8074885517
362,8.6143099169,11.7229258993
363,8.6286844842,11.6384930795
364,8.6431734046,11.5541953344
365,8.6577781186,11.4700378893
366,8.6725000365,11.3860259517
367,8.6873405381,11.3021647124
368,8.7023009728,11.2184593442
369,8.7173826595,11.1349150029
370,8.7325868867,11.0515368264
371,8.7479149120,10.9683299354
372,8.7633679623,10.8852994327
373,8.7789472337,10.8024504032
374,8.7946538916,10.7197879144
375,8.8104890703,10.6373170157
376,8.8264538734,10.5550427385
377,8.8425493732,10.4729700964
378,8.8587766112,10.3911040848
379,8.8751365977,10.3094496810
380,8.8916303121,10.2280118441
381,8.9082587024,10.1467955148
382,8.9250226857,10.0658056157
383,8.9419231479,9.9850470508
384,8.9589609436,9.9045247056
385,8.9761368965,9.8242434473
386,8.9934517989,9.7442081241
387,9.0109064121,9.6644235659
388,9.0285014661,9.5848945835
389,9.0462376599,9.5056259691
390,9.0641156614,9.4266224959
391,9.0821361072,9.3478889181
392,9.1002996031,9.2694299710
393,9.1186067236,9.1912503706
394,9.1370580125,9.1133548139
395,9.1556539823,9.0357479785
396,9.1743951149,8.9584345228
397,9.1932818611,8.8814190855
398,9.2123146409,8.8047062863
399,9.2314938439,8.7283007250
400,9.2508198284,8.6522069819
401,9.2702929226,8.5764296176
402,9.2899134239,8.5009731729
403,9.3096815993,8.4258421687
404,9.3295976852,8.3510411063
405,9.3496618880,8.2765744666
406,9.3698743835,8.2024467106
407,9.3902353177,8.1286622793
408,9.4107448064,8.0552255932
409,9.4314029354,7.9821410528
410,9.4522097607,7.9094130380
411,9.4731653085,7.8370459085
412,9.4942695755,7.7650440031
413,9.5155225289,7.6934116403
414,9.5369241062,7.6221531179
415,9.5584742159,7.5512727129
416,9.5801727374,7.4807746813
417,9.6020195208,7.4106632584
418,9.6240143877,7.3409426584
419,9.6461571305,7.2716170745
420,9.6684475134,7.2026906786
421,9.6908852718,7.1341676215
422,9.7134701131,7.0660520325
423,9.7362017164,6.9983480198
424,9.7590797326,6.9310596697
425,9.7821037851,6.8641910473
426,9.8052734694,6.7977461958
427,9.8285883536,6.7317291368
428,9.8520479782,6.6661438700
429,9.8756518569,6.6009943732
430,9.8993994761,6.5362846022
431,9.9232902956,6.4720184908
432,9.9473237483,6.4081999504
433,9.9714992410,6.3448328703
434,9.9958161538,6.2819211176
435,10.0202738412,6.2194685366
436,10.0448716314,6.1574789494
437,10.0696088274,6.0959561554
438,10.0944847062,6.0349039311
439,10.1194985199,5.9743260305
440,10.1446494956,5.9142261844
441,10.1699368351,5.8546081009
442,10.1953597162,5.7954754649
443,10.2209172917,5.7368319380
444,10.2466086907,5.6786811588
445,10.2724330179,5.6210267424
446,10.2983893546,5.5638722803
447,10.3244767585,5.5072213407
448,10.3506942638,5.4510774681
449,10.3770408821,5.3954441831
450,10.4035156017,5.3403249826
451,10.4301173887,5.2857233395
452,10.4568451868,5.2316427026
453,10.4836979174,5.1780864968
454,10.5106744804,5.1250581224
455,10.5377737539,5.0725609556
456,10.5649945948,5.0205983480
457,10.5923358388,4.9691736269
458,10.6197963010,4.9182900947
459,10.6473747758,4.8679510290
460,10.6750700373,4.8181596828
461,10.7028808397,4.7689192839
462,10.7308059173,4.7202330351
463,10.7588439851,4.6721041141
464,10.7869937388,4.6245356730
465,10.8152538552,4.5775308389
466,10.8436229924,4.5310927131
467,10.8720997901,4.4852243715
468,10.9006828701,4.4399288639
469,10.9293708361,4.3952092148
470,10.9581622746,4.3510684221
471,10.9870557547,4.3075094582
472,11.0160498284,4.2645352690
473,11.0451430315,4.2221487741
474,11.0743338829,4.1803528669
475,11.1036208859,4.1391504139
476,11.1330025278,4.0985442552
477,11.1624772805,4.0585372042
478,11.1920436007,4.0191320473
479,11.2216999303,3.9803315437
480,11.2514446966,3.9421384258
481,11.2812763127,3.9045553985
482,11.3111931778,3.8675851395
483,11.3411936774,3.8312302988
484,11.3712761837,3.7954934990
485,11.4014390558,3.7603773348
486,11.4316806404,3.7258843731
487,11.4619992716,3.6920171527
488,11.4923932714,3.6587781845
489,11.5228609504,3.6261699507
490,11.5534006073,3.5941949057
491,11.5840105301,3.5628554749
492,11.6146889960,3.5321540553
493,11.6454342715,3.5020930150
494,11.6762446132,3.4726746933
495,11.7071182679,3.4439014004
496,11.7380534729,3.4157754174
497,11.7690484563,3.3882989958
498,11.8001014376,3.3614743580
499,11.8312106276,3.3353036967
500,11.8623742290,3.3097891748
501,11.8935904369,3.2849329254
502,11.9248574387,3.2607370516
503,11.9561734147,3.2372036263
504,11.9875365386,3.2143346923
505,12.0189449775,3.1921322616
506,12.0503968922,3.1705983160
507,12.0818904381,3.1497348066
508,12.1134237648,3.1295436532
509,12.1449950169,3.1100267451
510,12.1766023344,3.0911859403
511,12.2082438528,3.0730230653
512,12.2399177033,3.0555399153
513,12.2716220136,3.0387382541
514,12.3033549080,3.0226198135
515,12.3351145077,3.0071862934
516,12.3668989310,2.9924393618
517,12.3987062942,2.9783806545
518,12.4305347113,2.9650117748
519,12.4623822947,2.9523342937
520,12.4942471556,2.9403497493
521,12.5261274039,2.9290596472
522,12.5580211493,2.9184654596
523,12.5899265008,2.9085686260
524,12.6218415677,2.8993705524
525,12.6537644597,2.8908726114
526,12.6856932869,2.8830761418
527,12.7176261611,2.8759824491
528,12.7495611949,2.8695928043
529,12.7814965031,2.8639084448
530,12.8134302025,2.8589305734
531,12.8453604124,2.8546603586
532,12.8772852549,2.8510989344
533,12.9092028552,2.8482474000
534,12.9411113421,2.8461068195
535,12.9730088482,2.8446782223
536,13.0048935104,2.8439626021
537,13.0367634700,2.8439609174
538,13.0686168733,2.8446740913
539,13.1004518717,2.8461030107
540,13.1322666223,2.8482485270
541,13.1640592881,2.8511114551
542,13.1958280383,2.8546925739
543,13.2275710487,2.8589926257
544,13.2592865021,2.8640123163
545,13.2909725886,2.8697523146
546,13.3226275056,2.8762132525
547,13.3542494590,2.8833957247
548,13.3858366625,2.8913002887
549,13.4173873388,2.8999274643
550,13.4488997192,2.9092777339
551,13.4803720445,2.9193515418
552,13.5118025653,2.9301492941
553,13.5431895418,2.9416713591
554,13.5745312447,2.9539180662
555,13.6058259554,2.9668897065
